,Name,Text,Time
88,Alexandria Ocasio-Cortez,"AIPAC endorsed scores of Jan 6th insurrectionists. They are no friend to American democracy.

They are one of the more racist and bigoted PACs in Congress as well, who disproportionately target members of color.

They are an extremist organization that destabilizes US democracy.",2023-11-01 01:30:28+00:00
89,AIPAC | Text ISRAEL to 24722 | #StandWithIsrael,"Instead of standing with Israel, @RepThomasMassie voted with @AOC, @RashidaTlaib, @Ilhan, @JamaalBowmanNY, and @SummerForPA.

Massie and the Squad:
❌ Opposed supporting Israel.
❌ Opposed condemning Hamas. https://t.co/coNhzgHSyi",2023-10-30 21:01:42+00:00
90,Alexandria Ocasio-Cortez,"https://t.co/V4TjoRdHho

https://t.co/25OXadBbUM",2023-11-01 01:33:13+00:00
91,Alexandria Ocasio-Cortez,"RT @SenatorDurbin: I just announced: I’m asking the Senate Judiciary Committee to grant me authorization to issue subpoenas to Harlan Crow, Leonard Leo, and Robin Arkley II – the next step in our Supreme Court ethics investigation. https://t.co/FSWcKVN3wS",2023-10-31 01:17:53+00:00
92,Senator Dick Durbin,"I just announced: I’m asking the Senate Judiciary Committee to grant me authorization to issue subpoenas to Harlan Crow, Leonard Leo, and Robin Arkley II – the next step in our Supreme Court ethics investigation. https://t.co/FSWcKVN3wS",2023-10-30 23:46:47+00:00
93,Alexandria Ocasio-Cortez,"Now more than ever, we must emphasize the importance of separating people from governments.

Antisemitism is disgusting and unacceptable. We have a responsibility to defend our Jewish brothers, sisters, and siblings from hatred. No movement of integrity should tolerate it. Ever.",2023-10-30 17:30:43+00:00
94,Alexandria Ocasio-Cortez,"RT @RepMcGovern: 1/ I’m again renewing my call for @POTUS Biden to push for a ceasefire—or at minimum a pause in fighting—so that food, water and medical supplies can get to the people of Gaza. I remain deeply concerned about my constituents and all foreign nationals who are trapped in Gaza.",2023-10-29 17:19:11+00:00
95,Rep. Jim McGovern,"1/ I’m again renewing my call for @POTUS Biden to push for a ceasefire—or at minimum a pause in fighting—so that food, water and medical supplies can get to the people of Gaza. I remain deeply concerned about my constituents and all foreign nationals who are trapped in Gaza.",2023-10-29 17:00:23+00:00
96,Alexandria Ocasio-Cortez,RT @btselem: 30 Human rights and civil society NGOs in Israel release statement urging the international community to act on unprecedented levels of state-backed settler violence in the West Bank &gt;,2023-10-29 17:11:40+00:00
97,B'Tselem בצלם بتسيلم,30 Human rights and civil society NGOs in Israel release statement urging the international community to act on unprecedented levels of state-backed settler violence in the West Bank &gt;,2023-10-29 15:23:41+00:00
